coreid,aff_total,coresex,coreprefyr,Degree,Major,fy14,donor
131721,2,M,1991,BS    ,Biomedical Sciences,100,1
131725,12,M,1987,MPA   ,Public Administration,150,1
131729,11,F,2002,BS    ,Mathematics,50,1
131737,4,M,2003,BS    ,Information Systems,50,1
131749,5,F,1992,BS    ,Sociology,50,1
131773,10,F,1997,MED   ,General Education,100,1
131779,9,M,1999,BA    ,Spanish,500,1
131783,9,F,1987,BS    ,Physical Therapy,200,1
131806,2,M,1986,BS    ,Public Administration,250,1
131809,22,F,2002,BSN   ,Nursing,500,1
131817,3,F,1994,BS    ,Physical Education,125,1
131854,5,F,2001,BS    ,Anthropology,150,1
131855,2,M,1995,BBA   ,Management,1000,1
131886,10,M,2003,BBA   ,Accounting,100,1
131891,8,M,1989,MPA   ,Public Administration,100,1
131904,19,M,2005,MED   ,General Education,110.09,1
131927,7,M,1988,BBA   ,Finance,250,1
131940,3,M,1998,BS    ,Health Science,50,1
132037,13,M,1997,BBA   ,Marketing,100,1
132042,2,F,1995,BS    ,Computer Science,50,1
132063,12,M,1997,BBA   ,Accounting,1000,1
132126,9,F,1993,BBA   ,Business General,100,1
132191,12,M,1994,BBA   ,Finance,100,1
132239,6,F,1995,BS    ,Advertising & Public Relations,50,1
132254,11,M,1998,BA    ,History,40,1
132301,10,F,2002,BSN   ,Nursing,50,1
132305,5,F,2001,BA    ,Art,200,1
132308,1,F,2002,BS    ,Biomedical Sciences,150,1
132338,7,F,1998,BBA   ,Marketing,550,1
132364,2,M,2002,BS    ,Health Science,25,1
132408,18,F,1996,BBA   ,Accounting,250,1
132418,7,M,1992,MBA   ,Finance,50,1
132459,11,M,1975,MBA   ,Marketing,100,1
132496,9,M,1976,BS    ,Mathematics,100,1
132510,9,M,1980,BS    ,Chemistry,100,1
132544,9,F,1979,BS    ,Social Relations,50,1
132612,5,F,1990,BS    ,Chemistry,50,1
132680,5,M,1977,BBA   ,Business General,200,1
132693,4,M,1989,BS    ,Physical Therapy,50,1
132698,30,M,1979,BS    ,Physical Education,1500,1
132736,7,F,1993,MPA   ,Public Administration,30,1
132752,20,F,1979,BS    ,Physical Education,300,1
132812,1,F,1991,MED   ,Reading,100,1
132875,5,F,1980,BFA   ,Art,20,1
132922,12,M,1991,BBA   ,Management,100,1
132933,11,F,1990,MBA   ,Management,300,1
132937,9,M,1989,BS    ,Geology,20,1
132940,3,F,1990,BS    ,Psychology,25,1
132966,10,M,1981,BME   ,Music,25,1
132972,9,M,1979,MBA   ,Business General,500,1
132982,9,M,1996,BSE   ,Engineering,100,1
133019,9,F,1998,MED   ,General Education,50000,1
133020,8,M,1993,MSW   ,Social Work,150,1
133052,9,M,1981,BS    ,Psychology,300,1
133057,9,M,1982,MED   ,Special Education,70,1
133083,6,M,1998,BS    ,Psychology,50,1
133103,10,F,1994,BBA   ,Accounting,1500,1
133104,12,M,1982,MBA   ,Accounting,1000,1
133205,11,M,1983,BBA   ,Management,80,1
133217,3,F,1985,BS    ,Nursing,100,1
133251,4,F,1986,BS    ,Art,14.4,1
133265,7,F,1981,BS    ,Physical Education,150,1
133290,10,F,1985,BS    ,Physical Education,35,1
133304,3,F,1999,BS    ,Physical Education,200,1
133309,5,M,1987,BS    ,Computer Science,100,1
133310,5,F,1997,MED   ,General Education,50,1
133352,14,M,1987,BBA   ,Facilities Management,100,1
133373,16,F,1983,BS    ,Computer Science,3035,1
133418,15,F,1985,BBA   ,Marketing,400,1
133456,11,F,2003,BBA   ,Marketing,20,1
133493,7,F,1985,BS    ,GRP SS Hist,50,1
133508,3,M,1994,BA    ,English Language and Literature,70,1
133510,1,F,1990,MED   ,Reading,100,1
133549,7,M,1989,BBA   ,Accounting,100,1
133570,4,F,1990,BA    ,GRP SS Psych,25,1
133591,1,F,1985,MED   ,Reading,25,1
133592,3,M,2000,BS    ,Geology,75,1
133653,25,F,2003,BS    ,Health Science,600,1
133867,8,M,2001,BBA   ,Management,75,1
133910,1,M,1995,BBA   ,Management,25,1
133924,8,F,1991,BS    ,Biomedical Sciences,100,1
133926,6,M,1994,BBA   ,Marketing,300.02,1
133980,5,M,2002,BS    ,Criminal Justice,25,1
133996,9,F,2006,BSE   ,Engineering,40,1
134014,1,F,2004,BA    ,Russian Studies,50,1
134059,2,F,2005,BBA   ,International Business,100,1
134069,33,F,2002,BSN   ,Nursing,1330,1
134153,12,F,1995,MED   ,General Education,1200,1
134160,17,M,2002,BS    ,Geography,500,1
134170,5,F,2003,BBA   ,Accounting,100,1
134200,4,F,2002,BA    ,Spanish,5,1
134240,12,M,2004,BBA   ,Marketing,300,1
134312,8,F,1986,BBA   ,Accounting,25,1
134323,6,F,1993,BA    ,English Language and Literature,25,1
134334,14,M,1988,MED   ,General Education,100,1
134354,3,F,1993,BBA   ,Accounting,30,1
134358,78,M,1967,BA    ,GRP SS Hist,550,1
134361,9,M,1986,MED   ,Special Education,175,1
134362,7,F,1981,BS    ,Geology,25,1
134374,11,M,1977,BA    ,Psychology,150,1
134390,9,M,1980,BS    ,Criminal Justice,50,1
134434,12,M,1985,BS    ,Computer Science,26,1
134446,9,F,1982,MST   ,Taxation,100,1
134493,14,F,1994,MED   ,General Education,100,1
134542,2,F,1991,MBA   ,Management,25,1
134579,2,F,1989,BBA   ,Accounting,50,1
134631,2,F,1995,MBA   ,Business General,25,1
134650,15,M,1979,BBA   ,Management,100,1
134662,4,M,1979,BS    ,Physics,75,1
134668,12,F,2003,BS    ,Statistics,500,1
134712,5,F,2010,BS    ,Communication Studies,10,1
134745,16,M,1982,BS    ,Financial Inst. Ins. Real Estate,75,1
134755,1,M,2000,MST   ,Taxation,100,1
134758,9,F,1978,MED   ,Special Education,50,1
134760,10,F,1978,BA    ,Sociology,250,1
134794,3,M,1981,BS    ,Nursing,150,1
134798,9,M,1984,BS    ,Chemistry,70,1
